"nameTeam","slugTeam","urlTeamSalaryHoopsHype","X2020-21","X2021-22","X2022-23","X2023-24","X2024-25","X2025-26"
Atlanta Hawks,ATL,http://hoopshype.com/salaries/atlanta_hawks/,118647039,95496087,59656896,18000000,0.0,0.0
Boston Celtics,BOS,http://hoopshype.com/salaries/boston_celtics/,132032864,132077647,95626895,62027548,34844000,37092000
Brooklyn Nets,BKN,http://hoopshype.com/salaries/brooklyn_nets/,168854452,165982367,157168219,19928571,0.0,0.0
Charlotte Hornets,CHA,http://hoopshype.com/salaries/charlotte_hornets/,108218809,83125939,44614401,31500000,0.0,0.0
Chicago Bulls,CHI,http://hoopshype.com/salaries/chicago_bulls/,128963580,96304124,22000000,0.0,0.0,0.0
Cleveland Cavaliers,CLE,http://hoopshype.com/salaries/cleveland_cavaliers/,128629143,90652433,46041645,6718842.0,0.0,0.0
Dallas Mavericks,DAL,http://hoopshype.com/salaries/dallas_mavericks/,127507823,84970945,59071146,36016200,0.0,0.0
Denver Nuggets,DEN,http://hoopshype.com/salaries/denver_nuggets/,129184135,125136013,74392370,43634326,36016200,0.0
Detroit Pistons,DET,http://hoopshype.com/salaries/detroit_pistons/,116973878,103380107,35197488,2866667.0,2866667.0,0.0
Golden State Warriors,GSW,http://hoopshype.com/salaries/golden_state_warriors/,170467299,160106508,101953999,70805664,0.0,0.0
Houston Rockets,HOU,http://hoopshype.com/salaries/houston_rockets/,132836984,92796702,90368533,22848583,0.0,0.0
Indiana Pacers,IND,http://hoopshype.com/salaries/indiana_pacers/,129408812,116253392,84188736,19400000,0.0,0.0
Los Angeles Clippers,LAC,http://hoopshype.com/salaries/los_angeles_clippers/,138604159,144294736,80128634,77520080,48787763,0.0
Los Angeles Lakers,LAL,http://hoopshype.com/salaries/los_angeles_lakers/,138326578,119994657,109460411,53600080,43219440,0.0
Memphis Grizzlies,MEM,http://hoopshype.com/salaries/memphis_grizzlies/,131564083,87045462,25732621,10400000,0.0,0.0
Miami Heat,MIA,http://hoopshype.com/salaries/miami_heat/,134303159,77828964,68001300,32596000,34844000,37092000
Milwaukee Bucks,MIL,http://hoopshype.com/salaries/milwaukee_bucks/,135289205,143531830,135507831,122050499,87285253,51928800
Minnesota Timberwolves,MIN,http://hoopshype.com/salaries/minnesota_timberwolves/,130280289,131265754,88301065,36016200,0.0,0.0
New Orleans Pelicans,NOP,http://hoopshype.com/salaries/new_orleans_pelicans/,133689123,91418170,68952429,33833400,36016200,0.0
New York Knicks,NYK,http://hoopshype.com/salaries/new_york_knicks/,97613692,48017364,0.0,0.0,0.0,0.0
Oklahoma City Thunder,OKC,http://hoopshype.com/salaries/oklahoma_city_thunder/,91599911,49837674,35107300,1930681.0,0.0,0.0
Orlando Magic,ORL,http://hoopshype.com/salaries/orlando_magic/,121651624,101547799,45400000,34400000,17400000,0.0
Philadelphia 76ers,PHI,http://hoopshype.com/salaries/philadelphia_76ers/,147401509,129159871,118760387,77163558,40338144,0.0
Phoenix Suns,PHO,http://hoopshype.com/salaries/phoenix_suns/,128858241,124828321,57182200,36016200,0.0,0.0
Portland Trail Blazers,POR,http://hoopshype.com/salaries/portland_trail_blazers/,131426055,131543365,83427762,86552469,54250000,0.0
Sacramento Kings,SAC,http://hoopshype.com/salaries/sacramento_kings/,105952605,100041976,69723001,51664183,34844000,37092000
San Antonio Spurs,SAS,http://hoopshype.com/salaries/san_antonio_spurs/,127903078,58174145,46555606,35821143,19321429,0.0
Toronto Raptors,TOR,http://hoopshype.com/salaries/toronto_raptors/,128541542,88847935,74055815,79360339,19928571,0.0
Utah Jazz,UTA,http://hoopshype.com/salaries/utah_jazz/,136048278,130397746,120253320,96775040,78050560,83086080
Washington Wizards,WAS,http://hoopshype.com/salaries/washington_wizards/,131265055,120309003,100325777,17000000,16000000,0.0
